# prefix	name	total	width	height	sample1	sample2
streamline-freehand	Freehand free icons	1000	24	24	accessories-remote-shutter	accessories-retro-film-1
streamline-guidance	Guidance	360	24	24	accessibility-access-for-hearing-loss	accessibility-access-to-low-vision
streamline-kameleon-color	Kameleon color icons	400	48	48	aid-kit	aid-kit-duo
streamline-logos	Logos free icons	1362	24	24	3ds-max-logo	3ds-max-logo-block
streamline-pixel	Pixel free icons	662	32	32	beauty-barber-light-sign	beauty-beard-style
streamline-plump-color	Plump color icons	1000	48	48	3d-coordinate-axis	3d-coordinate-axis-flat
streamline-plump	Plump free icons	1499	48	48	3d-coordinate-axis	3d-coordinate-axis-remix
streamline-sharp-color	Sharp color icons	1000	24	24	3d-move	3d-move-flat
streamline-sharp	Sharp free icons	1500	24	24	3d-move	3d-move-remix
streamline-stickies-color	Stickies color icons	200	40	40	3d	3d-duo
streamline-ultimate-color	Ultimate color icons	998	24	24	ab-testing-monitors	accounting-bill-stack-1
streamline-ultimate	Ultimate free icons	1999	24	24	a11y-accessibility-disability	a11y-accessibility-disability-bold
streamline	Streamline	3933	14	14	add-1	add-1-remix
subway	Subway Icon Set	306	512	512	add	add-1
svg-spinners	SVG Spinners	46	24	24	12-dots-scale-rotate	180-ring
svgl	SVGL	932	32	32	1password-dark	1password-light
system-uicons	System UIcons	430	21	21	airplay	alarm-clock
tabler	Tabler Icons	6034	24	24	a-b	a-b-2
tdesign	TDesign Icons	2355	24	24	ability-open	abstract
teenyicons	Teenyicons	1200	15	15	360-outline	360-solid
temaki	Temaki	543	50	50	abseiling	accessible-space
token-branded	Web3 Icons Branded	2113	24	24	0x0	0xgas
token	Web3 Icons	1849	24	24	0x0	10set
topcoat	TopCoat Icons	89	42	42	alert	arrow-down
twemoji	Twitter Emoji	4169	36	36	1st-place-medal	2nd-place-medal
typcn	Typicons	336	24	24	adjust-brightness	adjust-contrast
uil	Unicons	1216	24	24	0-plus	10-plus
uim	Unicons Monochrome	298	24	24	500px	adobe
uis	Unicons Solid	190	24	24	airplay	align-alt
uit	Unicons Thin Line	216	24	24	adobe-alt	airplay
uiw	uiw icons	214	20	20	adobe	alipay
unjs	UnJS Logos	63	32	32	automd	bundle-runner
vaadin	Vaadin Icons	636	24	24	abacus	absolute-position
vs	Vesper Icons	159	1792	1792	0-square	1-square
vscode-icons	VSCode Icons	1471	32	32	default-file	default-folder
websymbol	Web Symbols Liga	85	1217	1000	archive	arrows-cw
weui	WeUI Icon	162	24	24	add-filled	add-friends-filled
whh	WebHostingHub Glyphs	2125	768	1024	0	1
wi	Weather Icons	230	30	30	alien	aliens
wordpress	WordPress Icons	322	24	24	add-card	add-submenu
wpf	Icons8 Windows 8 Icons	200	26	26	2f-swipe-down	2f-swipe-right
zmdi	Material Design Iconic Font	777	512	512	3d-rotation	500px
zondicons	Zondicons	297	20	20	add-outline	add-solid
